Angle,Steps
-16.46,1
-16.37,1
-16.23,1
-16.1,1
-15.93,1
-15.77,1
-15.66,1
-15.55,1
-15.49,1
-15.41,1
-15.35,1
-15.27,1
-15.21,1
-15.12,1
-15.0,1
-14.91,1
-14.8,1
-14.7,1
-14.6,1
-14.54,1
-14.45,1
-14.37,1
-14.27,1
-14.15,1
-14.1,1
-14.01,1
-13.93,1
-13.82,1
-13.72,1
-13.57,1
-13.4,1
-13.23,1
-13.04,1
-12.85,1
-12.63,1
-12.41,1
-12.19,1
-12.02,1
-11.85,1
-11.69,1
-11.47,1
-11.26,1
-11.07,1
-10.94,1
-10.81,1
-10.66,1
-10.55,1
-10.47,1
-10.42,1
-10.38,1
-10.34,1
-10.32,1
-10.25,1
-10.22,1
-10.16,1
-10.13,1
-10.09,1
-10.02,1
-9.92,1
-9.82,1
-9.75,1
-9.65,1
-9.58,1
-9.49,1
-9.41,1
-9.33,1
-9.3,1
-9.32,1
-9.37,1
-9.41,1
-9.43,1
-9.42,1
-9.42,1
-9.41,1
-9.36,1
-9.29,1
-9.2,1
-9.09,1
-9.02,1
-8.91,1
-8.79,1
-8.64,1
-8.5,1
-8.3,1
-8.12,1
-7.92,1
-7.71,1
-7.44,1
-7.17,1
-6.91,1
-6.64,1
-6.32,1
-6.02,1
-5.75,1
-5.53,1
-5.32,1
-5.12,1
-4.95,1
-4.82,1
-4.74,1
-4.74,1
-4.69,1
-4.66,1
-4.61,1
-4.53,1
-4.48,1
-4.46,1
-4.45,1
-4.45,1
-4.41,1
-4.36,1
-4.31,1
-4.25,1
-4.17,1
-4.08,1
-3.95,1
-3.8,1
-3.65,1
-3.52,1
-3.42,1
-3.35,1
-3.24,1
-3.14,1
-3.03,1
-2.92,1
-2.82,1
-2.7,1
-2.58,1
-2.44,1
-2.34,1
-2.21,1
-2.16,1
-2.17,1
-2.36,1
-2.62,1
-2.96,1
-3.26,1
-3.52,1
-3.74,1
-3.96,1
-4.17,1
-4.4,1
-4.6,1
-4.78,1
-4.96,1
-5.14,1
-5.33,1
-5.52,1
-5.68,1
-5.87,1
-6.04,1
-6.18,1
-6.33,1
-6.5,1
-6.56,1
-6.63,1
-6.55,1
-6.44,1
-6.31,1
-6.21,1
-6.11,1
-6.02,1
-5.9,1
-5.77,1
-5.63,1
-5.55,1
-5.52,1
-5.56,1
-5.59,1
-5.69,1
-5.79,1
-5.93,1
-6.09,1
-6.28,1
-6.48,1
-6.71,1
-6.95,1
-7.24,1
-7.55,1
-7.87,1
-8.1,1
-8.26,1
-8.24,1
-8.17,1
-8.03,1
-7.97,1
-7.87,1
-7.74,1
-7.57,1
-7.4,1
-7.21,1
-7.02,1
-6.82,1
-6.66,1
-6.5,1
-6.33,1
-6.21,1
-6.09,1
-6.0,1
-5.98,1
-6.02,1
-6.15,1
-6.32,1
-6.52,1
-6.71,1
-6.93,1
-7.22,1
-7.56,1
-7.92,1
-8.33,1
-8.74,1
-9.18,1
-9.6,1
-10.04,1
-10.43,1
-10.8,1
-11.04,1
-11.17,1
-11.24,1
-11.25,1
-11.33,1
-19.27,2
-28.96,2
-12.21,2
-17.31,2
-12.52,2
-19.58,2
-19.86,2
-17.38,2
-18.18,2
-18.79,2
-17.71,2
-18.46,2
-19.4,2
-19.73,2
-18.75,2
-17.79,2
-17.02,2
-14.12,2
-12.34,2
-11.86,2
-12.2,2
-12.78,2
-11.53,2
-10.28,2
-9.15,2
-8.75,2
-9.03,2
-9.24,2
-9.51,2
-9.87,2
-10.04,2
-10.13,2
-10.01,2
-9.82,2
-10.13,2
-10.56,2
-10.66,2
-10.9,2
-11.14,2
-11.2,2
-11.14,2
-11.13,2
